,Date,Births,Moon
0,January 1 2000,9083,Not Full
1,January 2 2000,8006,Not Full
2,January 3 2000,11363,Not Full
3,January 4 2000,13032,Not Full
4,January 5 2000,12558,Not Full
5,January 6 2000,12466,Not Full
6,January 7 2000,12516,Not Full
7,January 8 2000,8934,Not Full
8,January 9 2000,7949,Not Full
9,January 10 2000,11668,Not Full
10,January 11 2000,12611,Not Full
11,January 12 2000,12398,Not Full
12,January 13 2000,11815,Not Full
13,January 14 2000,12180,Not Full
14,January 15 2000,8525,Not Full
15,January 16 2000,7657,Not Full
16,January 17 2000,10824,Not Full
17,January 18 2000,12350,Not Full
18,January 19 2000,12405,Not Full
19,January 20 2000,12506,Full
20,January 21 2000,11953,Not Full
21,January 22 2000,8855,Not Full
22,January 23 2000,7856,Not Full
23,January 24 2000,11449,Not Full
24,January 25 2000,12593,Not Full
25,January 26 2000,12143,Not Full
26,January 27 2000,12408,Not Full
27,January 28 2000,11934,Not Full
28,January 29 2000,8805,Not Full
29,January 30 2000,7764,Not Full
30,January 31 2000,11133,Not Full
31,February 1 2000,12614,Not Full
32,February 2 2000,12465,Not Full
33,February 3 2000,12062,Not Full
34,February 4 2000,12035,Not Full
35,February 5 2000,8624,Not Full
36,February 6 2000,7862,Not Full
37,February 7 2000,11630,Not Full
38,February 8 2000,12879,Not Full
39,February 9 2000,12315,Not Full
40,February 10 2000,12612,Not Full
41,February 11 2000,12411,Not Full
42,February 12 2000,8836,Not Full
43,February 13 2000,7933,Not Full
44,February 14 2000,12152,Not Full
45,February 15 2000,13017,Not Full
46,February 16 2000,12504,Not Full
47,February 17 2000,12520,Not Full
48,February 18 2000,12406,Not Full
49,February 19 2000,8861,Full
50,February 20 2000,7943,Not Full
51,February 21 2000,10610,Not Full
52,February 22 2000,12664,Not Full
53,February 23 2000,12252,Not Full
54,February 24 2000,12423,Not Full
55,February 25 2000,12204,Not Full
56,February 26 2000,9026,Not Full
57,February 27 2000,7836,Not Full
58,February 28 2000,11455,Not Full
59,February 29 2000,11895,Not Full
60,March 1 2000,12672,Not Full
61,March 2 2000,12524,Not Full
62,March 3 2000,12390,Not Full
63,March 4 2000,9054,Not Full
64,March 5 2000,7734,Not Full
65,March 6 2000,11375,Not Full
66,March 7 2000,12420,Not Full
67,March 8 2000,12338,Not Full
68,March 9 2000,12615,Not Full
69,March 10 2000,12152,Not Full
70,March 11 2000,8822,Not Full
71,March 12 2000,7937,Not Full
72,March 13 2000,11157,Not Full
73,March 14 2000,12773,Not Full
74,March 15 2000,12428,Not Full
75,March 16 2000,12431,Not Full
76,March 17 2000,12385,Not Full
77,March 18 2000,8677,Not Full
78,March 19 2000,7782,Full
79,March 20 2000,11595,Not Full
80,March 21 2000,12689,Not Full
81,March 22 2000,12272,Not Full
82,March 23 2000,12396,Not Full
83,March 24 2000,12327,Not Full
84,March 25 2000,9155,Not Full
